Batch_ID,Start_Temp,Target_Temp,Ambient_Temp,Airflow_Rate,Humidity_Level,Material_Load,Fan_Speed,Heater_Power_Level,Control_Strategy,Preheating_Time,Energy_Consumed,Temp_Fluctuation_Index,Steady_State_Achieved
B0025,26.84,58.51,29.43,4.0,31.95,47.63,1009,90,PID,12.84,5.99,0.8,1
B0026,31.78,63.1,21.92,4.92,43.97,42.82,1028,87,FA-PID-LSSVM,5.92,2.98,0.94,1
B0027,23.0,68.2,22.25,4.72,37.21,52.5,1303,99,FA-PID-LSSVM,5.72,3.33,0.89,1
B0028,27.71,64.76,24.07,4.7,44.09,54.58,1481,97,Fixed-Time,13.87,7.26,1.47,1
B0029,28.89,62.99,29.29,4.2,43.66,58.64,1464,95,Fixed-Time,15.28,7.65,2.23,1
B0030,20.7,59.87,28.52,4.56,47.46,45.58,1445,82,FA-PID-LSSVM,5.77,3.12,0.74,1
B0031,29.11,60.0,19.23,5.67,40.7,59.0,1115,93,PID,10.5,4.22,1.06,1
B0032,22.56,65.04,22.71,4.87,34.93,41.27,1489,99,PID,11.08,4.29,1.55,1
B0033,20.98,69.91,24.64,5.25,45.11,52.06,1268,71,FA-PID-LSSVM,8.27,2.88,1.07,1
B0034,34.23,64.93,24.04,5.13,54.91,41.14,1427,88,FA-PID-LSSVM,6.86,3.71,0.7,1
B0035,34.48,63.37,20.33,6.63,49.92,57.88,1046,84,PID,11.88,5.55,0.96,1
B0036,32.13,65.96,28.31,6.72,40.15,50.6,1358,81,PID,8.75,4.15,1.26,1
B0037,24.57,61.98,26.12,5.48,58.07,53.39,1447,84,PID,11.36,5.74,1.16,1
B0038,21.47,55.9,28.05,4.99,57.37,56.63,1090,94,FA-PID-LSSVM,5.84,3.16,1.03,1
B0039,30.26,63.43,28.31,4.32,36.28,43.01,1052,87,Fixed-Time,13.03,7.14,1.46,1
B0040,26.6,69.36,26.98,6.86,31.18,40.77,1217,83,PID,11.0,4.24,0.93,1
B0041,21.83,57.63,23.27,4.18,52.24,57.58,1347,75,PID,8.04,4.27,1.34,1
B0042,27.43,65.35,25.33,4.89,54.83,46.3,1076,81,PID,10.12,5.42,1.74,1
B0043,20.52,58.01,19.92,4.89,59.04,42.58,1203,89,FA-PID-LSSVM,6.7,3.82,0.81,1
B0044,33.64,63.04,26.08,4.96,56.7,49.37,1043,92,Fixed-Time,19.53,3.98,1.64,1
B0045,23.88,56.45,20.15,4.49,48.02,51.97,1155,99,Fixed-Time,13.4,8.59,2.2,1
B0046,29.94,61.76,26.33,6.35,45.9,40.62,1001,99,PID,10.75,5.35,1.24,1
B0047,24.68,66.34,20.76,4.37,30.84,45.5,1356,75,FA-PID-LSSVM,8.2,2.66,0.82,1
B0048,27.8,60.21,19.41,5.9,37.4,40.66,1312,95,Fixed-Time,11.58,7.76,1.58,1
B0049,28.2,64.97,19.98,4.37,43.79,48.41,1056,99,FA-PID-LSSVM,5.44,3.2,0.96,1
B0050,22.77,66.93,18.02,4.21,48.86,57.9,1289,78,Fixed-Time,14.67,7.18,1.52,1
B0051,34.54,68.91,26.62,6.73,46.72,59.65,1470,99,PID,10.75,5.21,0.86,1
B0052,31.63,58.52,26.79,4.57,52.28,52.74,1057,94,FA-PID-LSSVM,6.78,4.49,0.72,1
B0053,34.09,60.99,24.18,6.46,38.39,43.23,1253,95,PID,10.27,6.19,0.74,1
B0054,33.42,57.29,19.94,5.63,46.95,58.12,1179,73,Fixed-Time,15.24,5.41,2.2,1
B0055,28.97,69.89,19.0,4.23,32.64,50.32,1492,86,Fixed-Time,9.86,6.8,1.72,1
B0056,33.83,68.91,18.23,6.87,42.41,43.07,1156,71,PID,9.45,5.82,1.26,1
B0057,21.33,63.1,19.99,4.74,52.5,58.43,1034,85,Fixed-Time,13.11,6.68,2.0,1
B0058,22.94,67.63,28.69,6.58,50.8,55.15,1074,93,PID,10.17,4.43,1.53,1
B0059,20.68,62.81,20.9,4.51,59.72,54.63,1431,83,PID,10.94,5.55,0.96,1
B0060,24.88,64.35,22.25,6.56,38.34,54.18,1288,95,PID,9.81,5.12,0.74,1
B0061,25.83,56.34,19.26,4.04,44.95,44.01,1370,77,Fixed-Time,10.62,6.4,2.26,1
B0062,24.07,66.33,20.67,5.54,39.89,44.22,1074,83,FA-PID-LSSVM,6.35,3.14,1.0,1
B0063,32.43,56.92,24.23,6.31,43.22,53.77,1328,71,PID,9.34,4.72,1.25,1
B0064,25.35,67.39,25.29,6.8,55.71,44.39,1077,85,FA-PID-LSSVM,5.9,4.28,0.96,1
B0065,24.21,66.73,20.94,6.73,50.53,48.77,1254,73,Fixed-Time,11.66,8.01,2.61,1
B0066,28.14,65.63,18.69,6.46,56.47,55.64,1264,70,Fixed-Time,11.72,6.45,1.37,1
B0067,22.11,55.54,22.69,6.66,36.11,55.68,1486,92,FA-PID-LSSVM,6.6,3.75,0.82,1
B0068,32.03,59.55,20.81,4.6,56.2,49.07,1303,89,PID,10.28,4.89,0.81,1
B0069,21.12,58.95,20.63,4.85,31.79,55.84,1066,96,Fixed-Time,15.18,7.57,1.69,0
B0070,34.8,60.4,29.52,4.87,56.66,56.77,1220,83,PID,8.85,5.67,1.82,1
B0071,31.58,56.31,25.4,5.13,39.87,53.1,1466,77,PID,11.41,5.6,1.36,1
B0072,22.98,69.05,24.68,5.18,39.44,44.57,1163,94,FA-PID-LSSVM,5.93,3.56,0.79,1
B0073,20.08,63.31,22.99,5.63,45.36,45.48,1479,97,Fixed-Time,14.64,7.12,2.19,1
B0074,32.23,59.58,23.15,4.48,58.22,46.3,1454,94,FA-PID-LSSVM,6.69,4.23,0.82,1
B0075,30.6,60.95,24.49,6.07,31.43,42.34,1374,72,Fixed-Time,11.64,4.51,1.98,1
B0076,30.94,61.71,26.36,4.5,40.57,45.46,1219,74,FA-PID-LSSVM,7.25,2.95,1.14,1
B0077,31.57,64.01,26.43,4.93,55.7,44.19,1171,75,Fixed-Time,14.09,6.76,1.4,0
B0078,21.11,62.74,20.06,5.51,41.88,49.11,1253,91,Fixed-Time,14.9,6.54,2.08,1
B0079,25.38,68.79,24.0,6.39,35.97,58.17,1209,95,Fixed-Time,14.51,5.88,2.63,1
B0080,21.74,62.45,22.94,6.22,42.74,42.09,1187,77,PID,11.87,5.72,1.17,1
B0081,32.95,69.88,28.45,5.94,41.57,54.41,1190,75,PID,9.44,4.63,1.27,1
B0082,29.35,67.77,25.58,4.47,57.46,53.75,1388,75,FA-PID-LSSVM,6.15,4.05,1.08,1
B0083,24.96,58.13,24.39,5.64,52.86,41.92,1214,73,FA-PID-LSSVM,6.96,4.07,0.72,1
B0084,20.95,68.96,19.38,4.26,45.15,58.45,1374,76,Fixed-Time,12.57,8.1,2.79,1
B0085,24.66,56.75,25.27,5.13,59.65,51.37,1085,99,Fixed-Time,16.12,8.41,2.11,1
B0086,24.88,67.26,19.41,5.24,43.96,47.27,1473,99,PID,11.95,5.85,0.86,1
B0087,30.94,60.71,22.05,4.12,31.75,55.13,1105,93,PID,10.15,5.86,1.42,1
B0088,29.56,68.17,19.71,4.82,37.87,45.15,1331,88,PID,11.85,5.34,1.0,1
B0089,33.31,68.02,26.3,6.87,43.08,53.87,1295,76,FA-PID-LSSVM,6.94,3.52,0.85,1
B0090,27.08,67.09,20.48,6.86,34.71,40.79,1018,72,PID,9.05,5.05,1.17,1
B0091,21.79,66.85,22.7,5.06,58.43,56.79,1046,77,FA-PID-LSSVM,4.76,3.92,0.83,1
B0092,30.7,59.57,28.75,4.13,53.01,48.96,1064,70,PID,10.9,4.86,1.38,1
B0093,31.41,56.21,20.45,4.54,38.05,52.73,1450,70,PID,9.25,4.74,1.39,1
B0094,28.42,61.04,24.09,5.18,47.72,44.42,1474,83,Fixed-Time,14.71,5.72,2.79,1
B0095,31.56,57.6,23.03,6.84,51.64,53.54,1145,75,FA-PID-LSSVM,6.43,4.4,1.2,1
B0096,27.41,65.42,18.22,4.42,58.24,55.44,1433,79,PID,13.25,5.11,0.67,1
B0097,27.84,60.19,27.51,6.29,56.45,49.46,1285,94,Fixed-Time,9.31,6.39,1.9,1
B0098,26.41,69.63,18.83,4.33,45.46,52.35,1381,97,FA-PID-LSSVM,8.3,3.34,0.91,1
B0099,20.38,64.61,23.69,6.94,53.24,49.13,1065,83,FA-PID-LSSVM,7.47,3.37,0.67,1
B0100,21.62,67.34,24.73,5.14,46.86,57.88,1004,73,PID,10.85,6.28,1.43,1
B0101,20.47,56.99,25.54,6.33,46.58,49.96,1092,75,FA-PID-LSSVM,6.37,3.0,0.66,1
B0102,29.55,67.93,26.26,5.03,33.44,56.84,1352,85,Fixed-Time,11.45,7.15,2.41,1
B0103,24.72,68.84,21.04,5.88,33.78,56.03,1425,97,Fixed-Time,13.03,6.99,2.03,1
B0104,27.63,62.31,18.12,4.58,45.89,48.21,1467,90,FA-PID-LSSVM,6.27,3.85,0.62,1
B0105,33.61,64.09,26.68,4.44,38.07,44.6,1093,97,Fixed-Time,13.28,8.27,1.71,1
B0106,23.74,66.47,24.43,6.81,30.63,48.12,1105,70,FA-PID-LSSVM,8.49,2.99,0.45,1
B0107,26.16,57.62,28.03,6.75,51.69,56.52,1132,75,Fixed-Time,13.11,6.5,2.26,1
B0108,31.33,62.54,27.86,6.66,30.97,44.55,1433,78,FA-PID-LSSVM,7.24,3.22,0.63,1
B0109,23.43,60.98,28.12,5.88,47.86,50.49,1340,84,FA-PID-LSSVM,5.2,3.31,0.95,1
B0110,21.15,57.2,23.82,6.42,46.18,56.12,1313,81,FA-PID-LSSVM,6.13,3.51,0.76,1
B0111,24.35,60.51,22.0,4.21,59.06,47.07,1078,72,Fixed-Time,12.67,7.84,2.82,1
B0112,22.42,56.02,27.5,5.0,44.53,52.84,1211,80,FA-PID-LSSVM,8.0,2.5,0.66,1
B0113,33.95,55.39,23.42,4.94,31.91,44.91,1007,84,FA-PID-LSSVM,7.5,3.82,0.66,1
B0114,32.12,57.03,20.2,5.91,46.55,42.19,1496,72,PID,10.04,4.8,1.23,1
B0115,29.5,69.45,28.26,5.07,55.23,55.89,1158,83,PID,12.3,4.67,1.5,1
B0116,33.07,63.24,28.59,4.45,59.91,41.98,1267,71,FA-PID-LSSVM,6.22,3.08,0.96,1
B0117,32.06,69.49,23.6,5.79,42.91,45.43,1148,98,PID,11.88,5.89,0.81,1
B0118,22.8,61.49,18.91,6.44,39.61,57.1,1349,73,FA-PID-LSSVM,6.53,3.91,0.81,1
B0119,33.39,59.68,22.65,5.15,57.2,46.93,1445,95,PID,8.89,5.59,0.99,1
B0120,28.09,62.59,27.64,4.4,35.74,59.46,1090,88,Fixed-Time,17.59,8.54,2.3,1
B0121,32.11,61.59,28.82,4.59,48.46,59.59,1235,81,Fixed-Time,15.18,7.84,1.47,1
B0122,33.44,56.58,20.44,4.71,42.17,45.37,1473,71,FA-PID-LSSVM,7.35,2.65,0.78,1
B0123,24.77,64.61,18.8,4.9,31.23,40.82,1288,86,FA-PID-LSSVM,7.82,3.97,0.9,1
B0124,21.65,58.24,28.53,5.93,40.42,54.1,1409,72,Fixed-Time,12.92,5.02,1.75,0
B0125,23.42,64.29,22.67,5.8,37.96,49.02,1473,79,Fixed-Time,14.96,6.01,1.48,0
B0126,26.41,64.75,24.5,6.09,50.58,42.02,1355,85,PID,10.71,5.34,1.13,1
B0127,32.27,57.28,29.62,5.09,58.46,54.15,1167,91,FA-PID-LSSVM,6.74,3.56,0.63,1
B0128,32.91,55.92,18.8,6.47,38.04,40.62,1192,78,Fixed-Time,14.24,7.45,2.1,1
B0129,20.1,66.71,25.78,4.61,54.34,57.4,1186,80,Fixed-Time,14.52,8.23,1.49,1
B0130,27.66,61.9,18.89,5.41,31.66,42.77,1270,90,FA-PID-LSSVM,6.3,2.95,0.89,1
B0131,26.26,55.87,22.51,6.4,46.14,42.55,1113,84,PID,10.17,3.99,1.34,1
B0132,23.33,69.92,27.65,4.54,32.12,43.51,1384,72,PID,8.34,5.35,1.27,1
B0133,21.8,55.87,23.2,4.33,58.02,59.21,1010,85,PID,11.83,6.59,0.79,1
B0134,25.06,65.43,29.97,6.65,52.99,53.86,1054,99,PID,10.42,5.04,1.33,1
B0135,34.14,69.76,24.71,5.03,49.74,56.03,1257,90,Fixed-Time,14.43,6.65,1.78,0
B0136,24.85,58.59,21.85,6.05,54.72,47.95,1064,90,FA-PID-LSSVM,5.88,3.4,0.75,1
B0137,27.78,57.13,20.64,4.08,49.43,46.73,1478,90,FA-PID-LSSVM,7.16,3.27,0.72,1
B0138,30.55,56.82,22.21,6.07,59.07,44.69,1171,97,Fixed-Time,16.15,6.71,2.19,1
B0139,25.45,59.55,22.47,4.95,51.42,49.61,1271,81,Fixed-Time,14.72,5.96,2.92,1
B0140,34.58,56.52,18.82,4.17,57.74,51.04,1149,92,Fixed-Time,11.38,9.15,2.39,1
B0141,34.44,65.38,22.43,5.83,45.51,52.64,1361,74,FA-PID-LSSVM,6.03,2.81,0.95,1
B0142,23.78,55.93,23.57,4.72,33.51,45.14,1145,76,FA-PID-LSSVM,8.51,3.28,0.57,1
B0143,27.46,62.64,26.67,5.16,45.85,58.97,1430,78,FA-PID-LSSVM,4.54,3.01,0.78,1
B0144,24.51,69.95,25.88,4.24,33.81,43.4,1208,90,PID,12.9,5.75,1.29,1
B0145,24.27,67.21,26.51,4.44,47.77,59.31,1285,87,Fixed-Time,13.2,6.42,2.7,0
B0146,20.55,64.23,18.1,4.89,44.47,40.3,1009,90,Fixed-Time,14.4,6.97,2.17,1
B0147,29.14,59.59,20.61,4.27,48.68,49.62,1226,77,Fixed-Time,12.28,6.45,2.28,1
B0148,27.54,64.36,25.94,6.73,30.3,46.67,1185,81,FA-PID-LSSVM,6.89,4.52,0.76,1
B0149,20.77,62.91,23.81,4.02,35.85,48.98,1061,89,Fixed-Time,17.54,5.04,2.07,0
B0150,24.18,61.39,18.06,5.45,44.74,51.41,1084,71,Fixed-Time,13.33,7.44,2.22,1
B0151,33.62,56.96,27.65,4.37,58.52,48.71,1463,79,PID,10.18,3.73,0.72,1
B0152,23.59,68.3,27.27,4.92,41.51,48.3,1133,88,FA-PID-LSSVM,7.72,2.68,0.95,1
B0153,22.17,61.75,24.58,6.78,42.73,54.65,1322,78,Fixed-Time,14.25,6.83,1.96,1
B0154,27.34,57.92,18.8,4.49,51.44,53.72,1296,94,FA-PID-LSSVM,7.51,3.58,0.57,1
B0155,34.78,60.52,27.2,6.9,48.11,56.67,1170,93,FA-PID-LSSVM,7.32,2.98,0.63,1
B0156,23.63,61.21,25.0,4.62,38.97,45.0,1212,77,FA-PID-LSSVM,6.73,2.97,0.7,1
B0157,30.08,67.41,27.38,6.22,42.32,52.19,1460,93,PID,8.71,3.88,1.51,1
B0158,31.42,66.0,27.02,5.64,36.53,51.7,1017,93,FA-PID-LSSVM,5.7,3.41,0.95,1
B0159,23.56,66.54,27.64,6.65,58.98,47.39,1313,93,FA-PID-LSSVM,6.39,3.09,0.85,1
B0160,30.92,55.17,24.22,5.66,33.92,49.72,1059,70,FA-PID-LSSVM,8.12,2.92,0.77,1
B0161,25.52,61.24,19.68,5.6,41.16,46.28,1087,75,Fixed-Time,10.54,6.61,2.02,1
B0162,29.48,62.22,26.05,4.59,30.78,42.84,1026,81,PID,9.22,5.99,1.13,1
B0163,29.5,55.29,25.45,4.5,36.65,44.28,1067,94,Fixed-Time,9.88,7.34,2.3,1
B0164,28.04,58.9,26.91,6.75,53.41,42.11,1277,93,PID,9.62,4.13,1.15,1
B0165,21.35,66.4,20.04,4.98,36.04,53.66,1407,88,PID,10.92,5.17,0.46,1
B0166,32.53,57.06,20.34,5.12,32.4,53.21,1039,96,FA-PID-LSSVM,7.5,4.26,0.82,1
B0167,24.81,63.03,28.68,6.28,44.23,59.01,1108,86,FA-PID-LSSVM,5.97,3.24,1.15,1
B0168,22.8,58.23,27.0,5.02,30.3,54.59,1073,71,Fixed-Time,15.82,7.64,2.18,1
B0169,20.61,55.18,28.9,6.86,32.54,41.04,1065,80,PID,13.5,4.46,1.37,1
B0170,28.86,58.62,27.1,6.21,54.23,57.68,1167,87,FA-PID-LSSVM,8.99,3.83,0.65,1
B0171,30.16,69.64,25.17,5.79,53.14,57.25,1261,92,FA-PID-LSSVM,7.24,4.18,0.6,1
B0172,20.25,67.02,25.85,6.64,57.45,48.87,1367,97,FA-PID-LSSVM,6.97,3.38,0.67,1
B0173,27.68,69.39,28.67,4.15,55.64,51.72,1273,91,FA-PID-LSSVM,7.24,3.45,0.93,1
B0174,23.4,62.32,24.95,4.77,50.5,59.52,1336,80,Fixed-Time,16.28,5.73,2.03,1
B0175,29.68,56.65,25.59,5.4,31.57,50.65,1357,87,Fixed-Time,12.33,6.73,2.54,1
B0176,22.62,63.22,19.88,4.68,53.49,58.11,1236,77,FA-PID-LSSVM,6.98,4.23,1.18,1
B0177,30.36,61.82,23.69,6.23,55.37,41.66,1214,84,FA-PID-LSSVM,7.55,3.8,0.83,1
B0178,25.8,67.67,26.6,6.76,53.97,43.82,1365,78,FA-PID-LSSVM,7.97,2.28,0.8,1
B0179,34.05,56.47,21.25,5.27,45.25,48.82,1285,84,FA-PID-LSSVM,6.43,3.57,1.02,1
B0180,22.06,62.32,20.43,5.03,36.99,51.7,1377,76,FA-PID-LSSVM,7.02,3.32,0.52,1
B0181,25.12,57.25,21.77,6.88,55.36,56.32,1148,89,PID,10.34,5.75,0.95,1
B0182,21.7,59.87,20.9,5.33,51.81,59.77,1317,82,PID,7.49,6.96,1.3,1
B0183,33.87,66.06,20.58,5.47,59.42,47.78,1393,82,PID,10.17,6.29,1.24,1
B0184,33.16,62.14,23.1,5.05,34.67,40.95,1375,70,PID,12.5,6.18,0.82,1
B0185,23.87,60.64,28.89,6.73,36.77,56.02,1106,89,FA-PID-LSSVM,7.46,4.36,0.6,1
B0186,29.9,60.92,24.08,5.71,36.35,52.09,1140,73,PID,9.02,4.64,1.47,1
B0187,32.26,61.89,20.26,6.29,53.78,43.97,1075,93,PID,10.93,3.8,1.3,1
B0188,28.33,66.78,18.92,6.44,35.61,49.9,1008,73,Fixed-Time,13.5,6.89,1.58,1
B0189,27.94,68.38,26.35,5.03,32.0,54.85,1195,73,PID,8.24,5.88,1.71,1
B0190,23.63,69.33,22.59,5.3,59.96,55.41,1294,82,PID,9.53,4.89,1.35,1
B0191,21.4,66.8,27.86,6.55,30.74,49.99,1279,71,FA-PID-LSSVM,8.62,3.24,0.53,1
B0192,33.46,59.73,25.91,5.09,55.06,46.1,1380,97,PID,11.45,5.85,1.2,1
B0193,33.51,65.32,27.55,6.38,40.96,59.47,1117,95,PID,9.66,6.0,1.36,1
B0194,29.5,61.56,21.26,6.82,55.25,53.27,1289,92,FA-PID-LSSVM,6.23,3.52,0.53,1
B0195,25.09,58.82,26.31,5.87,46.64,48.16,1486,84,PID,11.53,5.05,1.07,1
B0196,25.24,67.61,21.17,6.22,57.05,45.61,1060,73,FA-PID-LSSVM,6.97,3.52,0.98,1
B0197,30.89,55.58,29.27,6.42,57.79,54.62,1424,96,PID,11.39,5.13,1.43,1
B0198,33.46,68.53,25.64,6.54,30.27,44.84,1388,75,Fixed-Time,14.8,6.57,1.94,1
B0199,33.31,61.92,21.89,5.19,32.26,43.43,1334,72,Fixed-Time,14.53,5.72,2.67,0
B0200,31.7,64.56,21.23,4.15,37.51,50.6,1305,76,PID,11.65,5.34,1.32,1
B0201,29.63,64.89,20.29,5.21,50.08,45.8,1387,75,Fixed-Time,14.27,8.19,2.17,1
B0202,21.26,68.43,26.34,6.02,56.65,52.58,1050,72,FA-PID-LSSVM,6.94,3.77,1.19,1
B0203,22.42,64.55,20.62,5.35,43.8,42.36,1051,73,PID,9.68,4.86,0.94,1
B0204,33.48,64.21,25.14,6.25,48.21,53.1,1121,79,FA-PID-LSSVM,5.93,2.97,0.43,1
B0205,29.1,56.0,21.18,5.07,35.65,45.67,1166,99,Fixed-Time,14.85,8.99,3.03,1
B0206,20.14,62.78,25.94,5.9,54.15,40.0,1007,90,FA-PID-LSSVM,6.15,4.45,0.6,1
B0207,21.52,57.25,27.78,4.56,59.02,42.54,1368,78,Fixed-Time,17.78,6.03,2.12,1
B0208,29.95,66.06,27.34,6.25,38.06,58.67,1044,99,Fixed-Time,11.45,7.79,2.02,1
B0209,20.08,62.68,27.13,5.64,44.84,57.35,1343,75,Fixed-Time,14.2,6.48,1.72,1
B0210,22.41,65.2,20.25,4.61,32.58,44.67,1244,98,FA-PID-LSSVM,7.81,3.05,0.68,1
B0211,28.23,55.63,19.06,4.88,46.77,55.57,1283,89,Fixed-Time,13.87,7.22,2.81,1
B0212,30.38,56.27,26.39,6.25,45.08,52.17,1374,96,PID,12.73,5.44,1.38,1
B0213,29.78,65.74,22.42,5.45,34.33,59.42,1106,80,Fixed-Time,16.07,6.72,2.09,1
B0214,23.36,56.08,23.19,4.65,43.26,47.47,1026,76,PID,8.53,6.11,1.34,1
B0215,30.68,56.07,18.37,6.9,40.02,53.63,1192,87,PID,11.98,5.59,1.19,1
B0216,23.56,55.18,21.11,6.15,45.65,41.27,1417,73,PID,10.61,5.2,0.81,1
B0217,24.88,69.35,18.4,6.87,47.57,47.92,1336,74,PID,9.0,5.81,0.82,1
B0218,31.2,66.06,28.55,5.28,30.25,59.28,1356,73,FA-PID-LSSVM,6.6,2.97,0.71,1
B0219,29.74,60.3,20.92,5.43,52.83,50.78,1061,73,PID,10.27,4.95,0.77,1
B0220,32.74,59.45,24.69,6.69,51.39,45.76,1061,96,Fixed-Time,13.63,6.04,1.68,1
B0221,29.86,60.25,18.47,5.58,40.99,42.41,1421,82,PID,11.83,6.3,1.43,1
B0222,28.52,66.62,26.0,6.12,31.59,54.07,1281,85,Fixed-Time,13.57,7.14,1.24,0
B0223,21.41,64.92,21.88,4.76,52.65,52.9,1120,94,FA-PID-LSSVM,8.98,2.73,0.39,1
B0224,25.52,57.78,28.78,5.34,58.66,47.48,1279,83,PID,10.9,5.68,1.22,1
B0225,23.98,57.61,28.66,4.37,37.2,59.02,1038,80,Fixed-Time,15.19,5.87,1.53,0
B0226,23.66,56.48,21.9,4.62,39.71,40.44,1379,98,FA-PID-LSSVM,7.12,3.62,0.55,1
B0227,34.6,64.9,28.81,4.0,35.51,46.07,1276,71,FA-PID-LSSVM,6.06,3.82,0.6,1
B0228,25.9,66.47,29.95,4.12,47.31,58.42,1093,91,Fixed-Time,15.08,5.63,2.88,1
B0229,33.38,58.98,27.9,6.93,34.65,46.42,1430,83,PID,9.31,4.15,1.23,1
B0230,29.47,55.31,28.14,4.73,40.69,45.05,1114,93,FA-PID-LSSVM,7.04,4.26,0.96,1
B0231,31.92,56.23,20.99,5.99,50.91,50.68,1175,93,Fixed-Time,12.42,7.87,1.38,0
B0232,27.54,69.52,24.92,6.52,46.8,56.48,1120,96,PID,9.42,5.12,1.16,1
B0233,28.65,59.43,18.81,5.65,41.59,42.06,1012,76,FA-PID-LSSVM,9.35,3.97,0.62,1
B0234,27.39,66.54,19.14,4.46,42.61,58.86,1484,95,Fixed-Time,14.2,6.66,1.93,1
B0235,22.93,64.37,29.99,6.18,46.86,55.9,1386,80,FA-PID-LSSVM,7.26,2.84,0.86,1
B0236,30.84,60.73,21.92,5.8,30.18,43.63,1415,73,FA-PID-LSSVM,8.91,2.5,0.57,1
B0237,24.21,58.09,26.98,6.19,32.36,54.24,1162,76,Fixed-Time,13.11,7.54,2.45,1
B0238,20.36,56.82,27.68,6.31,56.44,47.7,1274,98,FA-PID-LSSVM,7.81,3.36,0.43,1
B0239,29.68,64.23,28.3,6.93,32.34,48.05,1397,85,Fixed-Time,13.87,6.92,2.6,1
B0240,22.66,66.62,29.97,5.72,51.2,55.67,1175,95,PID,10.52,4.78,1.14,1
B0241,34.11,64.66,20.9,5.02,57.6,59.26,1469,75,Fixed-Time,17.39,8.99,0.92,0
B0242,34.31,62.95,18.48,5.95,38.12,42.53,1336,96,PID,10.67,5.25,1.14,1
B0243,33.72,55.63,22.93,4.21,41.11,48.41,1378,75,FA-PID-LSSVM,8.27,3.61,0.97,1
B0244,25.55,69.53,19.56,6.69,47.07,49.62,1323,71,Fixed-Time,14.02,8.06,2.2,0
B0245,20.23,66.98,18.27,4.36,56.45,47.53,1172,93,Fixed-Time,14.85,7.87,1.78,1
B0246,33.92,59.39,22.33,4.98,58.26,47.26,1487,77,Fixed-Time,13.08,6.96,1.75,1
B0247,26.42,69.7,27.4,6.45,52.19,41.05,1274,99,Fixed-Time,15.91,7.46,1.5,1
B0248,34.5,64.03,24.79,5.79,32.6,53.71,1063,96,PID,7.64,5.44,1.25,1
B0249,34.45,63.74,21.75,5.18,50.07,48.72,1100,76,PID,8.23,4.99,1.68,1
B0250,32.8,66.22,25.85,5.42,42.31,43.9,1321,96,FA-PID-LSSVM,6.34,3.34,0.69,1
B0251,24.42,67.18,20.78,6.56,44.12,56.32,1462,94,FA-PID-LSSVM,6.91,3.21,0.9,1
